mutuario_id,mutuario_idade,mutuario_renda,mutuario_moradia_status,mutuario_tempo_trabalhado,emprestimo_id,emprestimo_intencao,emprestimo_nota,emprestimo_total,emprestimo_taxa,emprestimo_status,emprestimo_margem_renda,hist_id,hist_inadiplencia,hist_anos_conta
7pl14bha-9F71,23,35000,Alugada,5.00,llU8aN7A-zJNG,Debtconsolidation,A,7000,0.06,0,0.20,0397UZJU-8cxv,0,2
X903mTEJ-9dWf,37,35000,Alugada,5.00,JOZcDbCE-kmRc,Medical,A,4000,0.09,1,0.11,03are8os-KRAX,0,16
MKfuknSh-bsHu,32,73200,Hipotecada,1.00,CzBKrlJ8-ZuBH,Personal,B,7200,0.10,0,0.10,03eOXaat-XXnM,0,7
X8TBuHJX-hFQU,41,42000,Alugada,1.00,0IqXBmxs-EW6W,Venture,B,3200,0.12,0,0.08,03jNqKs9-kKq3,0,16
MfPI6Hzv-ss7E,25,72000,Hipotecada,7.00,TimfjDOi-Itcu,Medical,B,25000,0.12,0,0.35,03oRGHE4-lOW8,0,2
zAsrzjKZ-1dzE,27,44000,Alugada,2.00,l8vYuZla-75RD,Medical,B,2000,0.11,1,0.05,03sfAiyR-hHSc,0,10
LcSTa2cn-nRJd,34,50000,Propria,2.00,4PIlrMdH-Ovm3,Personal,B,12000,NULL,0,0.24,03uS5L2K-RfCw,0,9
rkcv4NsS-f0Rf,22,62000,Alugada,0.00,UFn4j1Nf-cipO,Medical,C,8400,0.13,0,0.14,03yHKaY7-iLjv,1,2
kd3uKdi4-EFZJ,22,60000,Alugada,3.00,HCCPTcyZ-4wc7,Education,A,7000,0.07,0,0.12,03yZA9Fm-SptD,0,4
H59mhwga-zLWw,22,85000,Hipotecada,0.00,55E86KS6-2y1d,Venture,A,12800,0.07,0,0.15,047zNmqN-XKjP,0,3
8EYYfrUb-LLmJ,33,72000,Alugada,3.00,gcETPBmw-oxeL,Medical,B,12000,0.12,0,0.17,04955Jk6-8rEI,0,5
LWD4fqKB-Yrfj,26,46000,Hipotecada,8.00,7gy2kSyK-20fZ,Debtconsolidation,B,7000,0.10,1,0.15,04dHxNbw-Gt7l,0,4
T3J2Rquf-NJby,24,34800,Propria,8.00,PXyr8IIY-2S3z,Venture,B,1700,0.10,0,0.05,04Dn6dcE-waCN,0,2
L0Rs14zQ-ZmEr,36,174462,Alugada,9.00,gKmIyWgN-E39e,Venture,E,20000,0.17,1,0.11,04g7znhl-UyQr,0,16
csunA2fr-zGyc,20,65000,Hipotecada,4.00,SbM9fH1J-Wjqd,Venture,B,4800,0.10,0,0.07,04iE6FsM-RH69,0,4
HHZc50qm-jZNs,23,54000,Alugada,3.00,1IHvhqId-OKII,Debtconsolidation,A,6250,0.07,0,0.12,04T0kWta-Fwki,0,3
AN0Tv8Sl-Jdw9,24,9600,Alugada,3.00,K35HQxvr-EgfQ,Education,C,1300,0.13,1,0.14,050HN82m-mgF4,0,2
aryduOYD-CWLi,33,35000,Alugada,12.00,fMC0PAhS-rS5q,Medical,A,10550,NULL,0,0.30,05dYFhEt-vnMD,0,10
bQ8qaSde-4xe6,33,14400,Propria,0.00,7X76Dpiy-A5YP,Venture,C,2000,0.15,0,0.14,05xriPbl-aOhs,0,8
6wwUvbdo-uQ84,27,42000,Alugada,2.00,0E0CogGt-vdEs,Medical,A,6550,0.08,0,0.16,06dl3QQD-ircH,0,8
283zsKkk-MN9S,23,108000,Hipotecada,5.00,qDdFrwAx-Y81x,Debtconsolidation,D,10000,NULL,1,0.09,06MwaAuc-TvDw,1,2
UAP2cMWo-lyJX,23,88000,Hipotecada,7.00,miQajUM9-3Hpa,Medical,C,18150,0.13,0,0.21,06wqUweS-pLCq,0,2
BOuD4aLu-SHXn,23,40000,Alugada,3.00,ZKMX4uH9-pqUe,Education,C,4000,0.14,0,0.10,078gQCek-HxOd,1,3
yiTEC9YK-2eXh,26,54000,Alugada,3.00,CStSMhui-8RX9,Homeimprovement,E,13000,0.18,0,0.24,07d7IOHY-YrZY,1,2
Als0ixDx-6lK4,23,64000,Alugada,7.00,M2AnxS17-XHk9,Education,D,10325,0.13,1,0.16,07I515ur-v1KP,1,2
w667UzHN-u8Km,29,30000,Hipotecada,13.00,sAXRAFhh-f0kP,Personal,B,9000,0.10,1,0.30,07qJLgHD-9Qyi,0,10
iT20Xqqw-BL4u,28,80000,Alugada,0.00,5ft0ZCm0-DKpG,Venture,B,22000,0.10,0,0.28,08btoq1B-4DXz,0,9
kx2vjOkx-m9Mr,24,55000,Alugada,4.00,ERsfQ5y8-KAdZ,Homeimprovement,D,25000,NULL,1,0.45,08jquY9U-ax9X,1,4
eGYiz8KL-OWLD,29,63000,Alugada,13.00,8YxLlMhZ-oPEi,Medical,A,10000,0.07,0,0.16,09dhc9Ym-4ugt,0,5
XtgbvSG2-Ob5i,42,123735,Hipotecada,8.00,zZ4o6hA1-qYGd,Debtconsolidation,A,6400,0.07,0,0.05,09hKMIoW-4wi1,0,16
Ejximamm-Sjhx,33,28800,Alugada,5.00,mZKurHKe-uTLi,Medical,B,4000,0.10,0,0.14,09Q6fXon-htZI,0,5
izwkL5SF-95xB,24,24468,Propria,NULL,nts5la2A-ZZuH,Homeimprovement,B,5000,0.11,0,0.20,09ZllzTr-p08K,0,3
cmfoM6zL-rQbY,28,86652,Alugada,5.00,W5GPB5Dx-4PaA,Homeimprovement,B,20000,0.12,1,0.23,0a6DdGfd-3XXf,0,5
ydGLEabG-sgyR,23,95620,Hipotecada,7.00,2u0ROmJG-hLCG,Education,D,13500,0.15,0,0.14,0AaYCfij-Ns42,1,4
O6IaRq2p-lwhs,25,22800,Alugada,1.00,DfME09Qs-3cRv,Medical,B,2400,0.10,0,0.11,0ACqszu6-2rmj,0,4
8NTBNsRH-j0KT,24,78000,Hipotecada,0.00,GANu1MTD-Em1o,Debtconsolidation,D,19500,0.15,1,0.25,0aJv3BGg-Gsgh,0,4
4tD36gcw-IrsA,31,35000,Hipotecada,2.00,HOMkG0Xw-wmAU,Debtconsolidation,B,10225,0.10,0,0.29,0AqDleka-pynW,0,6
88WMzhgz-eqN7,23,33359,Alugada,2.00,uaxRxE8Z-goiD,Education,A,9000,NULL,1,0.27,0aQZWKGB-Rpo1,0,4
5sdMcawl-KgqL,22,119000,Alugada,2.00,9wXIhjhw-pJIu,Debtconsolidation,B,12000,0.10,0,0.10,0auKC7CI-HbGg,0,2
02gjGL3N-jyLr,31,30000,Alugada,5.00,ybY2QACb-DbsB,Personal,C,6000,0.13,0,0.20,0AvQtU25-8oDI,0,5
NNy20y2L-QoJg,27,72000,Alugada,0.00,jUXhblA4-DSnc,Medical,B,15000,0.12,0,0.21,0AwUwZMp-YMzL,0,6
i3DggFa8-XG8t,25,128000,Alugada,9.00,jcMGmBwm-RD6z,Personal,A,30000,0.07,0,0.23,0AwYFzFJ-j9xH,0,4
UgYxhYcW-pHdW,28,56461,Alugada,5.00,sjWwxIo9-Q8B3,Education,E,5400,0.16,0,0.10,0AxFOJwe-59nI,1,6
cxz3NZIZ-Hx1v,21,48000,Alugada,2.00,8MflINSR-ewRp,Education,B,3000,0.10,0,0.06,0AZZYtIP-qdO3,0,4
cljmKdGy-msgM,33,65000,NULL,3.00,nhjW4wWH-A81x,Debtconsolidation,A,3000,0.10,0,0.10,0b1HCEgC-zGwQ,NULL,2
jIA2IFbB-UTJy,27,73000,Hipotecada,11.00,QllTwYbN-LJ8K,Debtconsolidation,A,13000,0.06,0,0.18,0b6lsphq-Nx7f,0,9
H44Ei8kA-kGbb,24,75000,Propria,8.00,duvLFvAX-29Rn,Education,B,15000,NULL,0,0.20,0b7BfBpd-zeeP,0,2
mcf43Y58-b42R,31,36000,Propria,15.00,yUc4pqxe-C4tY,Venture,A,5000,0.07,0,0.14,0BacgXIQ-apEz,0,9
kBfTyqME-IdSP,25,40800,Alugada,9.00,Q86Iz8rO-PlvC,Personal,D,5600,0.17,0,0.14,0be5J9ax-vYsx,0,3
bG4vQRWy-QkPF,36,51000,Hipotecada,2.00,p4S0Ba2O-GQwD,Venture,B,1000,0.12,0,0.02,0bJKqC2I-FE2K,0,12
jp8X1OBn-ZPR5,22,75000,Hipotecada,6.00,5ZAwoHJq-NoZQ,Education,A,10600,0.06,0,0.14,0bzGJAB0-49vq,0,2
l4Or4cdq-Qkf7,27,58075,Hipotecada,6.00,tMvR4dTs-eZpM,Medical,A,4000,0.06,0,0.07,0bZQeDw7-o6m8,0,6
QPLdqb4i-llUe,22,88000,Hipotecada,6.00,XOY4n3br-UGkH,Personal,B,3000,0.09,NULL,0.03,0cFPJv5P-JBz3,NULL,17
6mwKefmL-4foP,33,115000,Hipotecada,3.00,iDi22Puj-qYym,Personal,A,14000,0.06,0,0.12,0cH3oAa4-ZYQL,0,8
Dx6nrO9B-jwln,22,61000,Alugada,3.00,vlMzDqUX-lMQE,Medical,B,5000,0.10,0,0.08,0cpfLUo2-vrPi,0,2
1ZERNB4W-ihSM,29,35568,Hipotecada,5.00,yJevosT8-2mn1,Debtconsolidation,B,3975,0.11,0,0.11,0cPOupvp-25Pk,0,7
jg5OzFyv-GeFn,21,47500,Alugada,2.00,6ywrTDYg-yb1g,Education,B,7500,0.11,0,0.16,0CSNBdy1-n5ws,0,3
BM6wCel8-1Bj6,30,50000,Hipotecada,0.00,KWzqu22T-ikwe,Education,C,10000,NULL,0,0.20,0CtHgysa-YQ1t,0,5
uLsu3sW1-WuPh,37,32000,Alugada,4.00,sJyJI7Wx-5zoj,Debtconsolidation,C,10000,0.14,1,0.31,0cTYiQ5c-tzkh,0,15
B1R1cmmK-aqfv,27,54600,Alugada,2.00,AA8kwIbD-3xlO,Education,C,1500,0.13,0,0.03,0cWntw3A-zub5,1,8
xSvgraxd-ZkrG,30,43200,Hipotecada,14.00,uNheNPof-CKOW,Personal,B,5000,0.11,0,0.12,0CXRIeGq-qY5n,0,9
eG1eEhoS-t5xi,28,31800,Alugada,2.00,v11LCBeJ-6bpf,Venture,E,6400,0.17,1,0.20,0D2AJkZt-KLbL,1,5
0X9bRdTL-tU97,36,25200,Hipotecada,0.00,yipZT0ZY-JlRZ,Education,C,8700,0.12,1,0.35,0D3vuAlj-faP5,1,14
LNaAgJ5o-KTgt,38,40246,Hipotecada,7.00,v5AZjOmf-lhcs,Homeimprovement,A,12000,0.09,0,0.30,0d6GQdgr-k8iM,0,15
xvZRG3IS-wKaY,21,98000,Hipotecada,5.00,jAa1NAtK-4zcX,Personal,B,6000,0.11,0,0.06,0de4qZ6g-pUum,0,4
PDQTj4yY-RyuB,23,42500,Hipotecada,7.00,hvzpwaO8-MwoD,Education,A,7500,0.08,0,0.18,0dhbA9iA-plUO,0,3
a43n9Xkq-CzGd,28,51000,Propria,2.00,q9SYszwA-Yscn,Debtconsolidation,E,20400,0.18,1,0.40,0DIRZ5uD-kaAE,1,5
Y2DlocYD-MCYC,25,95000,Hipotecada,4.00,K2PrZear-M3vO,Education,A,6500,0.07,0,0.07,0dNiFHs0-ibwN,0,3
ojWYc2H9-GGkO,24,75000,Hipotecada,4.00,sknqEsM5-AX6w,Homeimprovement,A,15000,0.06,0,0.20,0doSzu4E-J9xa,0,2
FRPpnRW4-XN33,28,81996,Hipotecada,12.00,z3NK3iih-O8ce,Education,B,3000,0.12,0,0.04,0DrvW5Ml-4ZKg,0,5
dk7Oi1Q4-hISY,27,73660,Alugada,4.00,FG6r9wHS-8Skr,Homeimprovement,,NULL,0.08,0,0.20,0DSJzoYJ-h7T8,0,4
8DsRToTK-JiMn,23,28000,Hipotecada,7.00,sNUOl7uv-EhZm,Debtconsolidation,D,9500,0.16,1,0.34,0dWnqqMx-upCi,0,2
ctZd50BA-W2Sk,23,48996,Hipotecada,7.00,I0jz1jot-F6Mh,Education,C,10525,0.14,0,0.21,0dXjAt4G-rWWk,0,2
Xw70ic6x-EBsC,24,65000,Alugada,5.00,rE1xZJjS-0oOw,Personal,B,8000,0.10,0,0.12,0e7nySRs-AJ6C,0,3
pz9lt5t7-blX0,27,130000,Alugada,3.00,A3ZfqABN-n5Q6,Medical,B,10000,0.11,0,0.08,0EB0iE3r-Jl3Y,0,10
rurICMmI-Arpz,24,56000,Alugada,0.00,UtNOhqpW-DWDq,Venture,C,12000,0.14,0,0.21,0eBk8d9M-llz6,1,2
mGrz0mqf-J5Dq,27,70176,Alugada,3.00,f7NPTLry-LKAB,Venture,A,9000,0.08,0,0.13,0ed5OJ69-Qkpp,0,8
PzvgCGGg-6q2c,31,42000,Alugada,1.00,DzRxYj4B-J9e4,Medical,B,12000,0.11,0,0.29,0eHaNLLz-TNy7,0,9
aLFj7y0K-4xjH,22,55000,Alugada,0.00,2UPH3Cpa-8F6i,Debtconsolidation,D,15000,0.15,1,0.27,0EIY3QYn-b7a6,1,4
FMpni5pS-5UUU,25,40800,Propria,5.00,4OUTJqdN-yDvQ,Homeimprovement,E,7000,0.19,1,0.17,0eIZJOLD-vUZv,0,4
EKDi6GzW-8PE5,25,42000,Alugada,1.00,X4OxJL7r-Qn0h,Medical,B,6000,NULL,0,0.14,0Ej5q26T-uTgH,0,4
dPSBQjgo-4roa,26,90000,Hipotecada,0.00,kFnTCjaM-Eii5,Education,B,6000,0.10,0,0.07,0ELENYRH-lpjN,0,3
Ntg26DlN-2ZcC,30,120000,Hipotecada,9.00,4A6uKRQ7-JTMW,Debtconsolidation,B,18400,0.10,0,0.15,0eQNP8iy-l9kx,0,9
IuS3I51A-p9Ae,23,46500,Hipotecada,1.00,m2RwAlFF-2DAQ,Medical,A,5000,0.07,1,0.11,0EuDdfgj-EaLa,0,3
qh2iXb2v-7Q4t,36,52500,Alugada,NULL,iyGqF1zt-WFtu,Homeimprovement,A,2250,0.05,0,0.04,0eyLvPXk-1feX,0,14
kdUmTY4p-rCUZ,22,48996,Alugada,0.00,eMmxK6ou-Lgbn,Personal,D,8000,0.15,1,0.16,0F6GOEPq-IDkK,1,2
7HKKGpQr-Jl6y,31,20000,Alugada,0.00,rRpwB94M-Dmmc,Medical,C,5000,0.14,0,0.25,0FAGeZRz-rWfG,0,5
Sn7QySIM-jlAw,22,41400,Alugada,2.00,hYl0s3Ql-hz0R,Medical,C,17000,0.13,1,0.41,0FCpsH5a-SOnZ,0,3
LdIUpSmU-sTWB,32,53408,Hipotecada,8.00,hNwgSLGq-QN0f,Venture,B,1400,0.11,0,0.03,0Fievoys-fGr6,0,6
KB51zFtL-ClWz,25,73000,Alugada,9.00,BwclNgeY-J6iA,Personal,B,13600,0.12,0,0.19,0fIioFlc-Ez1J,0,2
N5J1RPU7-BDga,30,85000,Hipotecada,2.00,7LTOZnaH-bj5X,Education,C,25000,0.13,0,0.29,0fir2YCf-8xEP,1,8
08iwXXZl-5U5x,22,14400,Propria,0.00,rt6WwqJk-oKBb,Personal,B,2100,0.11,0,0.15,0fjRt43G-M74x,0,4
tgqDm8dC-dirP,38,22000,NULL,2.00,9kbfXZw4-Zpu8,Debtconsolidation,,25000,0.13,0,0.17,0Fn8LtfN-jgvy,0,17
aXe7PbQf-61zb,34,195000,Hipotecada,14.00,Rz9mOBWJ-QTCB,Venture,C,6000,0.14,0,0.03,0fSx4c6e-ALJA,0,8
yjKUY3EP-MSMs,26,120000,Hipotecada,10.00,AjK6LXku-TimH,Homeimprovement,C,20000,0.14,0,0.17,0FUM8zbe-NJyq,1,4
Bl3yQF0l-LtPb,24,72000,Alugada,4.00,M4KHR9i5-R5bp,Debtconsolidation,A,4000,0.08,0,0.06,0FZNfEKD-1bUD,0,3
EJhjEgBZ-XQul,23,98000,Propria,6.00,RO9geFAv-Zmvo,Education,D,10000,0.18,0,0.10,0FzqUdab-3hdr,1,3
sSXA2sDo-39i0,22,38423,Hipotecada,6.00,APnhd5kC-JT4d,Education,A,2000,0.08,0,0.05,0gBg3hxq-DTFA,0,3
DiWY6hNC-zWzZ,28,60000,Alugada,2.00,4K9GMttA-aar2,Debtconsolidation,B,3000,0.11,0,0.05,0GfGOcwd-P0RF,0,5
q9yffya5-hFDG,21,70000,Alugada,5.00,EZA6BbvK-fXeC,Medical,B,9700,0.13,0,0.14,0GiI0DOC-spq2,0,4
bM4UQ78m-2lYz,22,36996,Alugada,0.00,L2gQe9OY-zvf9,Medical,A,5000,0.05,0,0.14,0GkS6TJc-6ZZZ,0,2
epDpHbC1-Ax1Y,23,30996,Propria,2.00,ozPeMOxW-j5xq,Venture,B,5000,0.12,0,0.16,0Gmrs9PM-47cs,0,2
iroB2zl6-zDPm,30,50600,Alugada,1.00,ce2vYvWB-tSdX,Debtconsolidation,C,12000,0.13,0,0.24,0GOHJ28h-TXxQ,0,6
QZqP5Zn0-Htl7,29,35000,Alugada,7.00,yJ9Oo1Ga-Sxmm,Medical,C,7000,0.13,0,0.20,0GQha6oO-RH4M,1,9
RhyijGbu-XXrg,37,25000,Alugada,0.00,ks2tRP1J-2MbF,Venture,D,2775,0.16,1,0.11,0GRN4Soj-DwrO,1,14
YsxzG1fg-69S7,34,103363,Hipotecada,4.00,oZ1g1ixb-vk6q,Debtconsolidation,B,15000,NULL,0,0.15,0gxdgLSO-iG6j,0,8
hUx77FXL-KuEe,40,55000,Propria,2.00,ehheoW0b-JZhg,Homeimprovement,B,8000,0.11,0,0.15,0gXrhpc4-BKfL,0,17
eL5ha0yD-pHYS,24,80000,Hipotecada,8.00,J0RvU152-F8kT,Homeimprovement,A,5550,0.08,0,0.07,0H5RxEm4-RMcB,0,2
htxTnjw4-9thl,35,60000,Alugada,0.00,6JP8ecRC-Tbg0,Homeimprovement,C,4000,0.14,0,0.07,0H8dgvmy-nKcW,1,7
hrRUzmnc-aIer,24,50000,Hipotecada,8.00,yhM4b6LA-obFQ,Venture,A,13700,0.06,0,0.27,0hKpjd6r-WMzZ,0,3
NmZuRD9i-skdI,24,55000,Alugada,2.00,JqC6itvB-Cuzh,Debtconsolidation,A,4500,0.08,0,0.08,0hnJp8g5-wRLF,0,2
oHOzHUBF-ppxh,28,53000,Alugada,11.00,FX4yCjEv-mWsx,Homeimprovement,C,5500,0.11,0,0.10,0hQe7YXa-jvmG,0,9
N9uUECkg-s8jd,25,49200,Hipotecada,2.00,OkWlRUFO-1Y8G,Education,B,6000,0.10,0,0.12,0IBcPLNZ-BdLo,0,2
xSpwHHk6-yQmc,28,72000,Alugada,2.00,3mf6bX1M-mbeO,Medical,B,7000,0.11,0,0.10,0iblGU1U-IE1g,0,7
pK04qR8n-NbU6,31,39000,Alugada,0.00,v01zfjvM-nIgf,Venture,D,2500,0.14,1,0.06,0il3ku6H-wcYP,0,5
jqwF3M1Y-q6gw,25,40000,Alugada,3.00,93AyfBed-6QX9,Medical,B,2500,0.10,0,0.06,0Im73E2g-cFIY,0,3
UhgDQBBv-RA8m,26,62000,Hipotecada,10.00,jfLDMFjF-aUEB,Venture,C,10000,0.13,0,0.16,0IpcLlAw-NmP7,1,2
qTk4JWuS-Dklg,33,106000,Hipotecada,2.00,kx2F8H9n-zctg,Education,A,6000,0.08,0,0.06,0isnP2Im-bDzb,0,8
hPxBkT2L-RyMJ,25,37200,Alugada,6.00,noX4klAn-hhGS,Homeimprovement,A,9600,0.06,1,0.26,0IxDP6uF-N1Tq,0,4
ppEPTRFQ-4luK,26,34000,Alugada,3.00,piZFqymp-eWGA,Personal,D,5500,0.17,0,0.16,0IzXlHeZ-3Zwr,1,3
jc1ISf3c-AbRs,33,48000,Hipotecada,17.00,exQuBqrF-0gso,,A,6800,0.07,NULL,0.05,0j8b8pSf-d6iw,0,2
8cIFOiMx-bKox,31,62400,Hipotecada,8.00,fNJCN8u9-5yae,Education,D,8500,0.14,0,0.14,0jB55KAv-TTMb,0,5
uzMkKmTK-JQtz,34,110000,Hipotecada,15.00,6GloYZjB-ckf1,Education,B,6000,0.09,0,0.05,0jcDOPLE-kMeh,0,6
Z8pCzIO8-ntwP,25,96000,Hipotecada,9.00,7BAMleMg-G0f6,Medical,A,14000,0.06,0,0.15,0jdsM91h-X4fn,0,3
uXE1IhzS-BpF1,28,40000,Alugada,1.00,yk6yOSat-tbBD,Personal,C,1700,NULL,0,0.04,0jetX6UF-jNBt,1,9
ricDg9F3-6Uqs,25,45000,Hipotecada,4.00,s75gaQ2T-7TpO,Venture,D,2000,0.16,0,0.04,0jmup9R3-UtjE,1,3
NjziCwPI-F0h0,24,80000,Alugada,3.00,cXJCPpl0-g1Ra,Venture,C,20000,0.13,0,0.25,0jTwcDNx-bWbR,0,4
Jw18xKxl-3R9t,27,39480,Hipotecada,2.00,XSB511LS-b6MT,Education,C,7200,0.14,0,0.18,0jU2M3Jv-e11P,0,7
UzaOLIAC-TBGM,34,41979,Hipotecada,14.00,fvlqYmcU-HkHb,Education,C,8150,0.15,0,0.19,0kGxtmO4-aOq8,0,10
2zweDZ7e-CAjp,52,52000,Hipotecada,1.00,KctGG5s2-qO0L,Medical,A,17000,0.08,1,0.33,0khHvm10-UUrT,0,18
TJlewTq3-kDAW,26,39600,Alugada,3.00,GTT6oyBi-wvyy,Education,A,4000,0.06,1,0.10,0kM2Pu7X-sXfh,0,4
JKlzLTbz-FUmE,22,30000,Hipotecada,3.00,tOdXCoCm-YqC5,Medical,B,1750,0.11,0,0.06,0kMFr6H4-ZMsh,0,4
k7vXmqwz-jntd,27,65000,Alugada,5.00,KGvI4Z8e-m2E2,Medical,B,8750,0.10,0,0.13,0KNxwuvG-eAf7,0,5
vvprG6xD-ZhiI,23,32580,Alugada,0.00,5q7hb2jg-NTEo,Personal,B,10000,0.11,1,0.31,0kTNCMoY-8u1n,0,3
yabS0PpI-Fur4,23,107000,Alugada,2.00,0uYzrWBH-4b5G,Debtconsolidation,A,4900,0.09,0,0.05,0KUPxBPN-ZPGr,0,2
bIIEFC6P-kzO7,22,54000,Hipotecada,5.00,wz1bciBS-piE5,Medical,B,7000,0.11,0,0.13,0l4E1dd5-rPa1,0,2
EACJknL3-FLRK,41,32496,Alugada,4.00,SWml5JSb-QKcX,Education,B,2000,0.11,1,0.06,0l5xbQhS-Nkit,0,12
LaDlgIjS-TXqE,29,45500,Hipotecada,6.00,hUpCMYrP-H0Wo,Homeimprovement,B,10000,0.11,0,0.22,0lbUCOeP-vFLZ,0,10
f8xwDAfD-xGhK,27,36000,Alugada,11.00,cBHgme0O-wPDe,Venture,A,4500,0.07,0,0.13,0Lexm6t1-ND6k,0,5
UeXit1LC-ZwGQ,24,40000,Hipotecada,5.00,6qdp3hYi-vSOu,Debtconsolidation,B,3000,0.12,0,0.07,0lFvCEFC-KpLh,0,4
Y3IuN5Uh-cTLD,24,35000,Alugada,1.00,pMt6LoOr-2yYR,Debtconsolidation,A,12000,0.07,1,0.34,0lGW7wJk-UO7X,0,2
tO02WJUq-vm1D,25,55000,Hipotecada,9.00,N1LfdzML-7ovX,Debtconsolidation,A,17000,0.07,0,0.31,0lKQe2qj-yxKB,0,4
YaaG5DZk-CUJp,23,59000,Hipotecada,0.00,dr0yAbp8-loib,Education,B,21600,0.12,0,0.37,0lOAMcop-hBQe,0,2
2qnz5ILt-bIZi,24,40000,Alugada,8.00,CNDCy8PS-WDTB,Medical,B,2800,0.10,0,0.07,0lsQcpKX-t1DD,0,2
gR7jNhTp-3lDH,23,60000,Hipotecada,NULL,PH1Dce6u-aHfn,Education,B,5600,0.11,0,0.09,0LveoXWk-tDjQ,0,2
EnpQfRxa-vmZE,38,54400,Alugada,5.00,sAz8iX7B-67Px,Medical,D,10000,0.15,1,0.16,0M57LNaW-iLhu,1,15
C5Ddn12F-nXaw,23,66000,Alugada,3.00,Q4UfI0hF-7z5x,Education,A,3000,0.06,0,0.05,0M6edL4M-NqrW,0,2
vDCGRT2r-dkp7,21,83000,Hipotecada,5.00,9KktENuU-do6A,Personal,C,15000,0.13,1,0.18,0mbaNBDy-WkN8,1,4
j5E3Zfb0-rKnU,23,40104,Outros,7.00,RevQ27cR-ED7U,Education,C,10000,0.13,0,0.25,0MG0GfRi-5YXy,1,2
myqGn0Oj-Y15j,26,51500,Hipotecada,7.00,FtKm2m4H-iLQW,Venture,B,11000,NULL,0,0.21,0mipKxnF-d9Z9,0,3
zDejeo3r-jWTv,29,34000,Alugada,13.00,C3fDza7W-6USh,Venture,C,2000,0.15,0,0.06,0mQ11dqJ-Fd3P,0,5
vHWguE2Q-Q19b,44,54000,Alugada,NULL,hDL55Twz-YdKn,,C,4800,0.10,0,0.10,0MvUyvHd-AM7J,0,10
K1HDmzoH-RjgC,25,33600,Alugada,5.00,LRAysYoD-BFCw,Personal,A,5075,0.06,0,0.15,0n3JhIAl-vAk9,0,2
2W6UAxn7-S04Z,22,45000,Hipotecada,2.00,EQmjXW1w-EOi0,Education,D,8000,0.16,0,0.18,0Ni1RvXT-XdDv,1,4
hTrxLBIi-7loA,38,40000,Alugada,19.00,HZxze8S1-yhAH,Venture,B,12000,0.11,0,0.30,0nLNyfFC-IalR,0,11
ACB3Dfdy-IPrX,35,36000,Alugada,2.00,BkwQLa6A-QjSc,Personal,D,3000,NULL,1,0.08,0nMZFoGn-jexA,0,10
ORzlMTqi-7DjP,24,49700,Alugada,3.00,2kb0YdmB-tvBJ,Medical,E,15000,0.16,1,0.30,0norigBc-Ifzi,0,4
myg33NfX-72Ze,24,38400,Alugada,3.00,fQxBMjU3-hwKE,Debtconsolidation,B,5000,0.11,0,0.13,0Np0lEJh-xD3Z,0,3
0Sdgf36Z-auBI,22,30000,Propria,6.00,lNlenObT-659Q,Education,A,2500,0.07,0,0.08,0NQJMZa6-PqEk,0,3
S0URH7om-sALJ,25,120000,Hipotecada,7.00,4f8lu3gl-rilY,Medical,A,4000,0.05,0,0.03,0ntBCknY-yrFz,0,3
j77gzPwI-qm7i,23,42000,Propria,7.00,YLe8pGuv-wpMN,Personal,B,4400,0.12,0,0.10,0ntxOoKz-GCLn,0,4
